Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,RSI,MACD,SMA50,SMA200,Buy_Signal
115.98336396144286,117.16656743067172,115.38687190813337,115.41620635986328,76322100,0.0,0.0,AAPL,52.84307091466132,1.0265398597126563,112.5105305480957,90.79517232894898,False
114.98595232862463,116.4234002030262,114.22322671211131,116.01270294189453,74113000,0.0,0.0,AAPL,53.987793527306465,1.021079695721653,112.61507186889648,90.98112913131713,False
116.01271532465954,116.13983378749967,114.6926125812959,114.74150085449219,73604300,0.0,0.0,AAPL,51.138768073992246,0.903759119289532,112.72327896118163,91.1660869026184,False
114.58505550648638,115.01531411751404,111.23101237342392,111.32879638671875,127959300,0.0,0.0,AAPL,44.36933312402726,0.5293035064871248,112.69763366699219,91.33213468551635,False
111.38747584073998,113.28450962449006,110.09669997199227,112.61956787109375,113874200,0.0,0.0,AAPL,47.21539786358761,0.33286217889704517,112.69428939819336,91.50699285507203,False
112.99113645130517,114.16455934476237,112.61954681537243,113.46050262451172,76499200,0.0,0.0,AAPL,49.04442373290668,0.2422449689051689,112.77433868408202,91.67683595657348,False
113.98856385720809,114.88818872041372,113.6463160788627,114.00811767578125,46691300,0.0,0.0,AAPL,50.25328037830622,0.21217234443838606,112.90028717041015,91.8522474861145,False
114.37968766305342,118.2911072225775,114.22322729966089,116.41362762451172,169410200,0.0,0.0,AAPL,55.27289461137581,0.37808578449060803,113.14267791748047,92.03958929061889,False
118.33023398098608,120.73575635202906,117.35237899468692,120.00236511230469,127728200,0.0,0.0,AAPL,61.51234779971917,0.7900473301732376,113.39358734130859,92.25210237503052,False
119.31785408740221,120.63796419810457,118.21288071326836,120.35438537597656,89004200,0.0,0.0,AAPL,62.07127422967185,1.1318872251158183,113.61776184082031,92.46076375961303,False
120.78464902206112,121.0388934166779,119.50366133071806,120.21749877929688,78967600,0.0,0.0,AAPL,61.69606918604444,1.3758917764027672,113.9307633972168,92.67277341842652,False
119.88501813402209,120.1392625157906,118.8289329732372,119.54277038574219,78260400,0.0,0.0,AAPL,59.777966353635684,1.4975592677952534,114.20879440307617,92.89021619796753,False
119.60145354527566,121.81140813528457,119.54278462727864,121.00956726074219,86712000,0.0,0.0,AAPL,62.50689085713217,1.6928260357774576,114.43689651489258,93.13305612564086,False
121.6158295436451,122.21232169297147,120.36416887164704,121.62560272216797,82225500,0.0,0.0,AAPL,63.62316989067995,1.875663784985207,114.62499649047851,93.39124498367309,False
121.77227679520645,123.1608290458489,118.32044998517725,119.08317565917969,115089200,0.0,0.0,AAPL,56.187977888204244,1.794722953442502,114.77923294067382,93.63117036819457,False
117.83152090843531,121.12689475984914,117.48927316966918,120.5108413696289,81312200,0.0,0.0,AAPL,59.079835871187015,1.8247429517461171,114.92844268798828,93.90147184371948,False
119.71878019553394,120.04147411514255,117.8804156003438,119.69922637939453,86939800,0.0,0.0,AAPL,56.78513266675437,1.7627238862188932,115.04228744506835,94.16790952682496,False
119.88501642677728,120.61840764569368,118.84849255805,119.08317565917969,79184500,0.0,0.0,AAPL,55.037707168920114,1.6449017815725284,115.21741439819336,94.40035219192505,False
121.58648066230148,125.06764935053899,121.38113201845924,125.04808807373047,157243700,0.0,0.0,AAPL,65.96022932197971,2.009679165342831,115.44389831542969,94.67414712905884,False
124.58850113943829,125.5272335235299,123.7573184744002,124.9796371459961,98208600,0.0,0.0,AAPL,65.76279860525977,2.267110612348276,115.73422103881836,94.93129823684693,False
126.04548253402541,126.71043158211236,125.20452677728292,125.84991455078125,94359800,0.0,0.0,AAPL,67.11067652273096,2.512389737166174,116.0044645690918,95.20472929000854,False
126.10417951258235,126.2410786072222,123.32706760608566,123.85511016845703,192541500,0.0,0.0,AAPL,61.16648101117598,2.5167990752606926,116.2369595336914,95.47291166305541,False
122.25142905164114,125.46857290305822,120.71619699711728,125.39034271240234,121251600,0.0,0.0,AAPL,63.822314172699194,2.6140409069000725,116.46111236572266,95.77653886795044,False
128.6954934124312,131.4334903171584,126.77889110285736,128.9595184326172,168904800,0.0,0.0,AAPL,69.11129703854658,2.945158457439234,116.61158950805664,96.07472558975219,False
129.23329830364477,129.49730836550714,127.88385385949238,128.05987548828125,88223700,0.0,0.0,AAPL,66.473351152183,3.0992515917044727,116.80850082397461,96.38045209884643,False
128.411916135144,130.50452508142843,128.19678685760132,129.04751586914062,54930100,0.0,0.0,AAPL,67.92096100900636,3.2634468515910555,117.02340805053711,96.72415742874145,False
131.0228189408006,134.2986247912925,130.55343771852372,133.66302490234375,124486200,0.0,0.0,AAPL,73.64746139606365,3.723088338748127,117.33999649047851,97.05481424331666,False
134.99288748033229,135.71649064032698,131.36503881821685,131.88330078125,121047300,0.0,0.0,AAPL,68.56484636058042,3.898805661319571,117.65398544311523,97.4200111579895,False
132.57761567057273,132.97853990131875,130.4458834814228,130.75880432128906,96452100,0.0,0.0,AAPL,65.48951918020273,3.9023416732368332,118.0048356628418,97.7666487121582,False
131.1108048151708,131.7561927189475,128.80306633693473,129.7515869140625,99116600,0.0,0.0,AAPL,62.773601039027966,3.7802930954076572,118.30567092895508,98.1157693862915,False
130.56322038760763,130.65122376779112,123.95291765774623,126.54423522949219,143301900,0.0,0.0,AAPL,54.95766195738029,3.3857336126366704,118.55485382080079,98.4511491394043,False
126.03574706580709,128.82264015370907,125.5859271409713,128.10879516601562,97664900,0.0,0.0,AAPL,57.722942401242136,3.162830153975932,118.8571939086914,98.81322856903076,False
